owner,status,Submit Time,serial number,dlurl,hook,gen caption,IG caption,TT caption,CTA,Notes,Views,Likes,Comments,Shares
rose,ready,"August 6, 2025 at 4:33 PM",1Ame2hC__aCejt4ODWUGeZKbmBiD3LsMO,https://drive.google.com/uc?id=1P88CgjXGlADOCoC5nn6UWgVaiOFgTWOI&export=download,Heard of wholesaling but still confused,"Heard of wholesaling but still confused?

You don't buy houses.
You don't fix anything.
You flip contracts for checks.

Here's what actually happens:

You find distressed properties nobody wants. The ugly ones. Inherited homes. Tax liens. Divorces.

Lock it up with a contract for $80K.

Then flip that paper to a cash buyer for $95K.

Your cut? $15K for connecting dots.

No banks. No credit checks. No renovations.

Just you, a contract, and hungry investors who need deals.

The crazy part? You can do this with $0 down.

I've done 300+ deals this way. Started broke in Little Rock.

Now I clear 6 figures monthly moving paper, not houses.

Everyone thinks you need money to make money in real estate.

Wrong.

You need deals. Investors have the cash.

Comment ""WHOLESALE"" and I'll send you my exact contract template plus the script that gets sellers saying yes.

Limited to first 50 people. Then it's gone.

Let's get you that first $10K check.

Comment ""WHOLESALE"" now.","""Heard of wholesaling but still confused?

You don't buy houses.
You don't fix anything.
You flip contracts for checks.

Here's what actually happens:

You find distressed properties nobody wants. The ugly ones. Inherited homes. Tax liens. Divorces.

Lock it up with a contract for $80K.

Then flip that paper to a cash buyer for $95K.

Your cut? $15K for connecting dots.

No banks. No credit checks. No renovations.

Just you, a contract, and hungry investors who need deals.

The crazy part? You can do this with $0 down.

I've done 400+ deals this way. Clearing 6 figures monthly moving paper, not houses.

Everyone thinks you need money to make money in real estate.

Wrong.

You need deals. Investors have the cash.

Comment ""SELLERS"" and I'll send you my exact 10 minute process for finding deals all over the country every week.

Limited to first 50 people. Then it's gone.

Let's get you that first $10K check.

","""Heard of wholesaling but still confused?
",,,,,,
rose,ready,"August 6, 2025 at 4:38 PM",1umrx2O5EsN99AVJKqkAOUewDh3SEKpNI,https://drive.google.com/uc?id=1bWqF1_Z8uRpkEUZlszCTGFdVb8bGVcK4&export=download,the truth behind 100k month,"Here's the truth no one tells you about making $100K/month in real estate:

It starts with how far ahead you're willing to think.

Most people think too small, too fast, too panicked.

They never get the breathing room to build what's next.

I was stuck in that same trap. Chasing the next deal like my life depended on it. Living commission to commission. No vision past Friday.

Then I learned the real game: You build wealth by thinking 90 days out, not 9 hours.

Here's what changed everything:

1. Started targeting 3-4 deals per MONTH, not per quarter
2. Built systems that work while I sleep
3. Focused on boring markets everyone ignores
4. Stopped trading time for money

Now? I close deals from my phone at my kid's soccer game.

The crazy part: You don't need money, a license, or experience to start.

You just need to stop thinking small.

Want the exact blueprint I use to find off-market deals in ANY market?

Comment ""BLUEPRINT"" and I'll DM you my personal system.

Only sharing this with the next 50 people who are ready to think bigger.

Let's build something real together.","Here's the truth no one tells you about making $100K/month in real estate:

It starts with how far ahead you're willing to think.

Most people think too small, too fast, too panicked.

They never get the breathing room to build what's next.

I was stuck in that same trap. Chasing the next deal like my life depended on it. Living commission to commission. No vision past Friday.

You build wealth by thinking 90 days out, not 9 hours out.

Here's what changed everything:

1. Started thinking in terms of 3-4 deals per WEEK, not per month

2. Built systems that work while I sleep

3. Focused on boring markets everyone ignores

4. Stopped trading time for money every chance I could

Comment ""LONGER"" and I'll DM you my copy of the 25 principles I use weekly to keep myself in check.

I've never shared these before so I'm only sharing this with the next 50 people.",Here's the truth no one tells you about making $100K/month in real estate:,,,,,,
rose,ready,"August 6, 2025 at 4:46 PM",1xdoXEBW6P71dKh9yK9gvCxNr616OhEaq,https://drive.google.com/uc?id=1xF96-lGx6Pkm6P28oJ6G6gUIPo7rP--J&export=download,Wholesaling is dead in 2025,"Wholesaling is better now than ever before.

Even if you don't really know what you're doing.

Unlike Airbnb, business buying or marketing...

Wholesaling is actually profitable.

Here's why:

Interest rates crushed flippers. They can't get loans.
Inflation killed Airbnb hosts. Bookings are down 40%.
But wholesalers? We're eating.

No money tied up.
No renovations.
No tenants.

Just contracts and cash.

I watched 3 rookies close deals last month. Combined profit: $47,000.

One was a bartender.
One was unemployed.
One just turned 22.

They all followed the same boring process:

1. Find distressed properties on Xome
2. Call sellers using TruePeopleSearch
3. Get property under contract for 70% of value
4. Assign contract to cash buyer for 80% of value
5. Keep the 10% spread

That's a $15K payday on a $150K house.

While everyone else is crying about the economy, we're finding motivated sellers everywhere.

Divorces. Deaths. Job losses.

Sounds harsh but someone's gotta solve their problem.

The best part? You need exactly $0 to start.

No license required.
No credit check.
No experience necessary.

Just hustle and a willingness to hear ""no"" 50 times before your first yes.

DM me ""REI"" and I'll send you my exact wholesaling script that closed 4 deals last month.

Only responding to the first 20 people. Let's eat.","Wholesaling is better now than ever before.

Even if you don't really know what you're doing.

No money tied up.
No renovations.
No tenants.

Just contracts and cash.

If you're a bartender.
If you're unemployed.
If you just turned 22.

You can follow the same simple process:

1. Find distressed properties on Xome
2. Call sellers using TruePeopleSearch
3. Get property under contract for 70% of value
4. Assign contract to cash buyer for 80% of value
5. Keep the 10% spread

That's a $15K payday on a $150K house and motivated sellers everywhere.

Divorces. Inheritances. Deaths. Bankruptcy. There's so many reasons and they all happen everyday.

They need someone to solve their problem and all you need to do is connect them to someone who really can (we show you how)

The best part? You need exactly $0 to start.

No license required.
No credit check.
No experience necessary.

Just hustle and a willingness to hear ""no"" 50 times before your first yes.

Comment ""REI"" and I'll show you how you can start as soon as today.",Wholesaling is better now than ever befor,,,,,,
matt,published,"June 11, 2025 at 7:11 PM",XajNOhSy,https://drive.google.com/uc?id=1P88CgjXGlADOCoC5nn6UWgVaiOFgTWOI&export=download,"Me tryna explain to bro that starting wholesaling has genuinely changed my entire life and it can change yours too. No more worrying about bills, no more pretending you're okay with 2 day weekends and 40 hour weeks. stop waiting for the right time when the right time is now.",,"Two years ago I was clock-punching 40 hours, pretending a two-day weekend was “freedom.”

Bills due, boss breathing down my neck, bank app sitting at $12.47.

Then I burned the boats and got into wholesaling.

No license..
No five-figure budget needed..
Just hustle, a phone, and a script that works..

First deal? $17,400.

Second? Double that.

Fast-forward to now: our operations are pulling in six figure per month and every day we're closing new deals with the exact same system.

I’m not special. Just a dude from Missouri that figured this all out the hard way.. so why can’t you?

Here’s the play:

1. Find the sellers who need speed more than top dollar.
2. Lock up the property.
3. Assign it to an investor who does have the cash.
4. Keep the spread. $5K, $15K, $25K+
5. Repeat repeat repeat!

Yes, you’ll get hung-up on. You’ll get ghosted. Your follow ups will feel like they're going nowhere.

But ONE contract lands and the whole 9-to-5 matrix glitches.

No more sweating your bills.
No more asking HR for “approved” PTO.
Tuesday afternoons suddenly hit different when the phone pings with wire notices.

And the window is wide-open right now...

Hedge funds are on pause, distressed inventory is piling up, and buyers are starving for deals. 

Waiting for “perfect timing” is the fastest way to stay broke.

I’m committed to making sure nobody else stays stuck where I was.. so I’m hosting a free live training TONIGHT (June 26th @ 7pm EST) where I walk you through how you can flip your first deal in the next 30 days.

Show up, pay attention, ask any questions you have and you can start this on your own the very next day.

Comment “LIVE” and I’ll DM you the invite link. We're capping it at 100 seats to keep it intimate. 100% free. ","Two years ago I was clock-punching 40 hours, pretending a two-day weekend was “freedom.”

Bills due, boss breathing down my neck, bank app sitting at $12.47.

Then I burned the boats and got into wholesaling.

No license..
No five-figure budget needed..
Just hustle, a phone, and a script that works..

First deal? $17,400.

Second? Double that.

Fast-forward to now: our operations are pulling in six figure per month and every day we're closing new deals with the exact same system.

I’m not special. Just a dude from Missouri that figured this all out the hard way.. so why can’t you?

Here’s the play:

1. Find the sellers who need speed more than top dollar.
2. Lock up the property.
3. Assign it to an investor who does have the cash.
4. Keep the spread. $5K, $15K, $25K+
5. Repeat repeat repeat!

Yes, you’ll get hung-up on. You’ll get ghosted. Your follow ups will feel like they're going nowhere.

But ONE contract lands and the whole 9-to-5 matrix glitches.

No more sweating your bills.
No more asking HR for “approved” PTO.
Tuesday afternoons suddenly hit different when the phone pings with wire notices.

And the window is wide-open right now...

Hedge funds are on pause, distressed inventory is piling up, and buyers are starving for deals. 

Waiting for “perfect timing” is the fastest way to stay broke.

Hit the link in my bio to secure your FREE seat.

",LIVE,,,,,
matt,published,"June 11, 2025 at 7:28 PM",tvbsO-g7,https://drive.google.com/uc?id=1bWqF1_Z8uRpkEUZlszCTGFdVb8bGVcK4&export=download,You should start wholesaling,,"Not “one day,” not “when the market cools,”

TODAY.

Your boss isn’t giving you a raise tomorrow.
Your rent isn’t negotiating with you.
And your 40-hour week? Actually a 168-hour leash.

I broke that leash with one assignment contract and a $14,900 wire.

Now my Tuesday golf habit costs more than my old monthly paycheck.. and the deals keep stacking like clockwork.

What wholesaling ISN'T
🚫 Swinging hammers or HGTV rehabs
🚫 Needing a 750 credit score or huge loan
🚫 Waiting 6 months for a flip to close

What wholesaling IS
✅ Solving a seller’s time problem
✅ Paperwork that locks in equity
✅ Passing that contract to an investor who loves doing the heavy lift
✅ Pocketing the spread. $5K, $15K, $30K+, all before the paint dries

3-Step Playbook

1, Pull the tired-landlord & pre-foreclosure list (DM me “LIVE” for an invite to my free class that shows you how to get these).

2. Use my Worlds Greatest Script to book the appointment.

3. Assign the deal, get paid. 

That’s it. Rinse. Repeat. Scale.

Excuses I hear daily?

“I don’t know real estate.” — Neither did I.

“I don’t have money.” — Good, you don’t need any.

“It’s too late.” — Inventory distress is at a 5-year high; buyers are starving for deals.

That means the road is WIDE open, but only for the ones who move right now.

I’m running a free live breakdown this Thursday (June 26th) @ 7PM EST: contracts, scripts, comps — zero gatekeeping. 

Comment “LIVE” and I’ll DM you the link to register. Totally free to join.

Your future self is either bragging about checks or making the same excuses.

Choose wisely.",I’m running a free live breakdown this Thursday (June 26th) @ 7PM EST. Check the link in my bio to register for free. Your future self is either bragging about checks or making the same excuses. Choose wisely.,LIVE,,,,,
matt,published,"June 11, 2025 at 7:32 PM",vm4Mw_7w,https://drive.google.com/uc?id=1xF96-lGx6Pkm6P28oJ6G6gUIPo7rP--J&export=download,my whole life changed when I realized I could make a living off of 2 people & 2 pieces of paper,,"2 PEOPLE + 2 PIECES OF PAPER = TOTAL LIFE RESET

I used to think you needed huge capital, licenses or a big network to make it work. Nope.

Person #1 – Maria, stuck with a vacant rental draining her savings

Person #2 – DeShawn, flipper with crews twiddling thumbs

Paper #1 – Purchase agreement locking Maria in at $114,000

Paper #2 – Assignment contract passing it to DeShawn for $131,000

Fourteen pen strokes later: $17,000 wired to me. 

No loan, no rehab, no risk.

Why this hits different:
• Works in hot, cold, or sideways markets
• No credit pulls.. just problem-solving cred
• Zero hammer swings = zero midnight “lumber price” panic

How to run the play:
1. Pull leads from free lists online (I'll show you how)

2. Ring till one owner says, “Can you just take it off my hands?”

3. Lock the price, have them sign the assignment contract, and then blast to cash buyers you find in Facebook Groups

Assign ➜ collect ➜ reload.

Usual objections
“Isn’t it complicated?” — If you can tap DocuSign, you can do this.

“Don’t you need money?” — Not a dollar of mine touched that house.

“Isn’t it crowded?” — Distress inventory’s peaking; buyers are starving.

I’m breaking down every step of this process this this Thursday, June 26 @ 7 PM EST.

Comment LIVE and I’ll DM you the link so you can get your seat. Completely free.

Two people, two docs.. the shortest path to get from stuck to stacked.","Fourteen pen strokes later: $17,000 wired to me. Check the link in bio.",LIVE,,,,,
matt,published,"June 11, 2025 at 7:34 PM",jBSORsST,https://drive.google.com/uc?id=1NqRjE4QVlvCo16FJnp6jQHPTLKiQECpu&export=download,"I make a living odd connecting 2 people and signing a couple papers. no hammer, no suit, no license. meanwhile you get told when you can eat your own lunch. we are not the same",,"I’m not saying everybody’s gotta quit their job tomorrow.

But let’s be real…

If someone else tells you when you can eat lunch, go home, or take a piss…

You’re not free.

Meanwhile, I connect two people, sign some papers… and make more in a day than my old boss paid me all month.

No hammer. No suit. No license.

And trust me.. I used to be the guy punching the clock. I know the fluorescent-light headache. I know what it’s like praying your boss doesn’t Slack you at 8:59 PM with “one quick thing.”

And here’s the part nobody tells you:

→ You don’t need a million bucks to get started. (you don't even need $1,000)
→ You don’t need a real estate license. (anyone who says you do is lying)
→ You don’t need to flip a single damn house yourself. (you flip the contract instead)

I used to think “business owners” were some secret club of genius rich dudes.

Nope.

I’m just a regular guy from Missouri who figured out how to spot opportunities where other people see problems.

And the biggest problem I see?

People wasting their entire lives chained to a desk… because they think that’s “security.”

Your boss’s approval isn’t security.

Learning a skill that prints checks for you on repeat..? That's security.

So yeah.. we’re not the same.

And if that stings a little.. maybe it should.

Because you deserve to eat lunch whenever the hell you want.",Call me Paperwork Daddy,N/A,,,,,
matt,published,"June 11, 2025 at 8:03 PM",Dx3F_XiF,https://drive.google.com/uc?id=1PX-h5ACpnkR0lEfj7co3Ys0VzcQdFFPW&export=download,they all laughed when I told them I was gonna take wholesaling serious...,,"Then someone I admired laughed too...

“Deals move faster in packs. Stop playing hero.”

I grinned, said okay and went right back to trying to be the whole damn team.

Eleven long months later...

Skipped calls, dead leads, fumbled objections and enough BS to fertilize a farm, that first wire hit. 

Just like that.. $34k.

Felt like OXYGEN.

Looking back it wasn’t money or leads or time that dragged those eleven months.. it was pride. 
I wanted 100% of every deal so bad I ended up with 0% of nothing for almost a year.

When I learned to split the work we closed in nine days and split thirty-four grand. 

Lesson learned: I’d rather half a watermelon than a whole grape.

Don’t be like me and let it take 11 months.

You can do it in 1 if you lock in and partner up.

I’m just another guy from Missouri. If I can do this, believe me you can too.

Comment “Sellers” and I’ll show you my 10m process I do every morning to find new deals.","I’m just another guy from Missouri. If I can do this, believe me you can too.",Sellers,,,,,
matt,published,"June 11, 2025 at 8:17 PM",yo3OkN2g,https://drive.google.com/uc?id=1nNN1Ouu5r871vP4pLc1PqtMHr6QYyfir&export=download,10k Days. Gym. No boss. Golf. No alarm. Eating Clean. Dinner with Wife.,,"4 deals closed already this month, let’s run it higher","4 deals closed already this month, let’s run it higher",N/A,,,,,
matt,published,"June 11, 2025 at 8:19 PM",yCCOhEJN,https://drive.google.com/uc?id=1A3cbw6fo-fbW2J_EN3t7CskaDLrwxDlj&export=download,"drop elite ball knowledge, but the topic is anything real estate",,👀 lets see what you got,👀 lets see what you got,N/A,,,,,
